one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fifteen,sixteen,seventeen,eighteen,nineteen,twenty,Class,Stability,Cluster2,Cluster3
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,continuous,discrete,discrete
,,,,,,,,,,,,,,,,,,,ignore,ignore,class,ignore
0.26506641,-1.514130378,-0.32697558,-0.759921856,1.315693605,-1.889787158,-0.959470721,-0.17612703,-0.908709216,-0.299432078,0.301956172,-0.204092626,-0.947651812,-0.322673733,1.566644951,0.066876422,-1.010065967,-0.189008609,-0.633219067,1,0.65,2,2
-0.137791293,1.204067326,-1.592605705,-0.262736877,-1.086140029,-0.128069993,-0.44888066,0.630937859,0.501460864,1.362832933,0.37869166,-0.547274721,-0.907904019,-0.587219926,-0.934972929,1.059095283,0.008333001,-0.919250636,0.975966673,0,0.9,2,3
1.109672562,1.110848048,-0.073441071,-1.794178407,0.270271975,-0.477662953,-0.459368012,-0.82927285,-0.463393051,-0.255409881,0.150292003,0.487980862,-0.146703315,-0.523198025,2.041242417,0.413198768,-0.647859816,0.924049475,-0.200362645,0,0.35,1,1
2.193404555,2.408464447,-0.595081991,0.198367099,-0.146388231,0.411697223,-1.461555361,0.145658531,0.002095895,-0.812379558,0.84622169,0.067103408,-2.534235196,-0.074559544,1.181934201,0.933317828,-2.351509898,1.463558217,-1.032003944,1,0.25,1,1
2.402935489,-0.0887613,-0.660571053,0.21265952,-1.289099358,-1.288879698,-0.715905351,-0.503214569,0.498279307,0.923662896,1.15525054,0.162335362,-0.698330856,-0.776685987,1.291955105,-1.141379164,0.123236861,-0.064300091,-0.536393878,1,0.4,1,1
0.31419764,0.346206777,-2.03783404,-0.392121123,-0.287866764,0.196238388,-0.878433905,-1.002937386,0.949739208,0.103453512,-0.169361012,0.956928282,-1.471357532,0.33850867,0.497682026,0.504297882,-0.630225309,-0.532201082,1.086084981,1,0.2,1,1
-2.098406027,1.021497217,0.008031264,-0.050904181,0.296513059,-0.922958653,-0.042794128,-0.50535676,0.032596593,-0.571208674,-1.19965695,0.930391508,0.952068256,1.137284772,1.234305344,-1.325734617,-0.246180177,0.623947893,-0.070605522,0,0.2,1,1
1.512529105,0.595258657,-0.911206181,0.479638661,0.085798284,-0.620643603,0.855324745,1.624408477,-0.242839651,0.04795816,0.843906106,-0.936663612,-1.866404678,1.30288606,2.407842433,0.296171793,-1.766609256,-0.744675918,-0.948182599,1,0.85,2,3
0.086513646,-1.237507235,0.98145738,-1.609832306,-0.169603744,-1.419948988,-0.776299217,0.979208567,-1.461361797,-1.076125517,1.506555198,-0.098497939,-1.124482874,-0.627939835,1.482071344,-0.663958184,-1.422056548,0.5493718,0.532770264,0,0.4,1,1
-0.557777039,0.548006099,1.488900279,-0.561154904,-0.296950604,0.356774853,-0.954312426,-0.599459766,0.671989589,-0.129366259,-0.519844061,-0.231471579,-1.834267214,-0.500854747,0.155899817,0.491101704,-0.554939881,0.85121019,-0.809243956,0,0.7,2,2
0.401303655,-1.124633886,-0.606363859,0.758750751,-1.147910663,0.836464631,0.299405275,-1.262998755,0.870035404,-0.871111198,-0.313872535,-0.011324968,0.778254804,0.5601301,1.096870656,-0.03321325,-0.351083805,-0.421805679,-0.43095858,1,0.75,2,2
0.818626404,-0.701046096,2.431477345,0.732118962,0.527965261,2.135199666,-0.316842215,1.038504202,-0.446549833,0.002496605,1.602974246,-0.874190759,-0.018917768,-1.71084786,1.555571313,0.209640015,-0.917220419,-0.164902219,-0.678803555,1,0.55,1,2
0.668755054,-2.030899276,0.530079053,0.071917451,1.152089132,1.995350088,0.541857951,-0.992252471,0.866431484,0.418868707,1.054337506,-0.161968985,-1.128841432,0.001190659,0.571447143,-1.390437685,-1.450172723,-1.613671086,-0.238597243,1,0.45,1,2
1.60306596,0.438338298,0.483800759,0.39785298,-0.359155868,-2.129380357,-0.193346067,-1.239535745,0.14403008,0.478249513,0.415166688,0.455064486,-0.608257578,0.656787809,1.555805899,0.77321517,-0.537447136,-0.812899499,-0.198731996,1,0.5,1,2
-0.215993629,-1.467327914,1.065859229,1.041627582,-0.632734529,-0.635751589,0.421609608,1.257845974,-0.754923963,0.120910286,-1.898775383,0.478201155,0.404247866,0.355190223,-0.584097246,0.867083807,1.137519349,-2.431743026,-0.532517611,0,0.75,2,2
0.352837955,-0.419574157,-0.426745276,1.491333598,0.598237158,-0.74986141,-1.300468273,0.782759286,-0.143666135,1.108826509,-0.581388996,0.639249275,-1.475023052,1.268832016,0.707872551,1.743048226,-0.56935393,1.343450827,-0.730955779,1,0.45,1,2
-1.007466325,-0.776068254,-0.159381812,-1.921891339,0.229354049,0.060727586,-0.586585093,1.998442051,-0.929693101,-1.300208919,-0.420569877,1.601541906,-0.15646736,0.337493014,0.695981934,-1.168145116,2.127811379,2.041205201,-0.260707129,1,0.45,1,2
0.660477168,-1.182702533,1.06939746,0.264890648,-0.05402279,-1.526728374,-0.382251247,0.786059323,-0.180287837,1.431682214,1.829120027,-0.557157471,-1.823883491,-0.630470852,0.796472439,0.505578577,0.364481814,-0.637552785,-0.358914547,1,0.25,1,1
-2.067404004,-0.51932301,0.344809991,0.322683083,0.072410461,0.480727397,-0.584682221,-0.250609485,-0.227577423,-2.325578137,-0.906671661,0.712620091,1.440471555,-0.703812914,0.27860618,1.724469057,-0.059743454,0.09077578,0.047249569,1,0.8,2,3
1.586420691,1.279054473,2.922104969,0.881823989,1.017763145,-0.092511459,-0.60399126,-1.073549054,0.455233747,0.606796598,-0.393550534,-0.707749279,0.098930006,0.113134391,1.732371221,0.50818255,1.303461706,-0.724508623,0.372145009,1,0.45,1,2
0.558374638,0.738297911,0.734000713,-0.088005632,0.479604458,-0.267533367,1.362421618,-0.308651555,-0.622741399,-0.884806922,1.773322065,1.176161996,-0.149508904,1.311662422,-0.229472417,0.816068429,-0.55852484,1.55105493,0.829003208,1,0.2,1,1
-0.252490994,-1.145797105,-1.058985262,0.417368652,-1.081722106,0.941928354,-0.922370587,-0.265910006,0.587923382,-0.62791348,0.360339761,0.239163005,1.772716592,-2.064644031,0.998855641,-0.228628304,0.128688393,-1.403275752,2.284082525,0,0.2,1,1
1.10666774,-1.328041926,-0.764168975,-0.381674554,1.612780658,-0.317219833,0.378583374,0.303159634,-0.674648922,-0.51755549,-1.471658673,0.941384366,0.635324761,-0.412591424,0.765347786,1.156902242,-0.133527573,0.06357561,-0.983021322,0,0.2,1,1
0.80753543,-0.435327658,1.011342509,-0.287424406,-0.08897799,-1.53840356,-1.989304962,-0.838007442,2.487066752,0.01027217,-0.887017938,0.58817371,-1.43923075,0.973793941,3.15275104,1.190536732,0.364735416,-1.223372554,0.552270009,1,0.85,2,3
0.550217381,-0.333937802,0.759974393,-0.432262528,0.169529469,-0.202685981,0.828397565,-1.766321232,0.227001843,0.546207484,1.179882426,0.387508777,1.328455977,2.261469148,-0.262668385,0.472356776,-0.119084015,1.710405932,-0.277994847,1,0.55,1,2
