,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,seventeen,eighteen,nineteen,twenty,Class,Stability,Cluster2
1,-0.13779129257557865,1.2040673263006292,-1.5926057047692483,-0.26273687726178,-1.086140029347547,-0.1280699925391528,-0.4488806603022173,0.6309378589371519,0.5014608635326524,1.36283293324846,0.3786916595383496,-0.5472747213980768,-0.9079040191140404,-0.13717045597534705,-0.5872199262155865,1.0590952834919514,0.008333000743310184,-0.9192506356007342,0.9759666730202932,0,0.29,1
3,2.1934045548858463,2.408464447050125,-0.5950819906640736,0.19836709897553428,-0.14638823129559533,0.4116972234065811,-1.4615553605020917,0.14565853056728148,0.002095894814503835,-0.812379557922736,0.8462216898149829,0.0671034079568885,-2.5342351960494565,0.11603612941960262,-0.07455954411236054,0.9333178277686932,-2.3515098975967383,1.463558217025826,-1.0320039443503504,1,0.19,1
4,2.4029354889721413,-0.08876130004265155,-0.6605710532994831,0.2126595204238564,-1.28909935800744,-1.288879697657242,-0.7159053511787893,-0.5032145692390528,0.4982793072077868,0.923662895805448,1.1552505403348132,0.16233536177472133,-0.6983308557932449,-0.9359495685358966,-0.7766859870677998,-1.141379163802314,0.12323686084619455,-0.06430009056064237,-0.5363938780424459,1,0.83,2
5,0.3141976397916933,0.3462067773850421,-2.0378340401561816,-0.3921211232900209,-0.2878667637603909,0.19623838833293555,-0.878433904930938,-1.0029373862442823,0.9497392078910424,0.10345351222284277,-0.16936101178800408,0.9569282821415748,-1.4713575323436483,-1.5503136990689448,0.3385086697213537,0.5042978821441997,-0.6302253091527947,-0.5322010816365178,1.0860849808840949,1,0.97,2
6,-2.098406026918413,1.0214972171161958,0.008031263583676373,-0.05090418111534495,0.29651305862845456,-0.9229586525318322,-0.042794127851156494,-0.5053567604063411,0.03259659297191625,-0.5712086743338771,-1.199656950135056,0.9303915081126434,0.9520682563073846,1.5969048565287662,1.1372847723386847,-1.3257346174199514,-0.24618017739833056,0.6239478932482049,-0.07060552158279064,0,0.98,2
9,-0.5577770391438164,0.5480060994598817,1.488900279477309,-0.5611549043504135,-0.2969506042342158,0.3567748528776597,-0.9543124261782454,-0.5994597656027897,0.6719895888509385,-0.1293662592087028,-0.519844060522494,-0.2314715791114456,-1.8342672143746823,0.419870367260492,-0.5008547472095441,0.4911017043024356,-0.55493988058675,0.8512101904530843,-0.8092439560283063,0,1.0,2
10,0.4013036551265357,-1.1246338856351288,-0.606363859276952,0.7587507507453733,-1.1479106628548543,0.836464631103252,0.2994052748462965,-1.262998754792785,0.8700354035879386,-0.8711111975537321,-0.31387253513242125,-0.011324967962140107,0.778254804021827,-0.6704436812659301,0.5601300999971032,-0.033213249827504884,-0.35108380505140035,-0.4218056792857528,-0.4309585799495875,1,0.72,2
12,0.668755053508474,-2.0308992755617976,0.5300790530428117,0.07191745130275308,1.1520891322963456,1.9953500878194343,0.5418579508829501,-0.9922524710627008,0.8664314843768403,0.4188687073917069,1.0543375063277134,-0.1619689846009471,-1.1288414322898943,-1.8439145755881932,0.001190659030331749,-1.3904376849751279,-1.4501727229770962,-1.6136710861723025,-0.23859724251229586,1,0.91,2
14,-0.21599362903873667,-1.4673279138129418,1.0658592291628697,1.0416275823084342,-0.6327345286137338,-0.6357515891704864,0.4216096081426752,1.2578459742050196,-0.7549239633276085,0.1209102855168918,-1.8987753828642344,0.4782011545539749,0.4042478662860219,-1.1768017483833122,0.3551902228931154,0.8670838072445486,1.1375193489282642,-2.4317430262880606,-0.5325176106213786,0,0.29,1
15,0.3528379553186202,-0.4195741565081758,-0.42674527632220377,1.491333597974872,0.5982371578162986,-0.7498614098823556,-1.3004682725508396,0.7827592855737163,-0.14366613518534602,1.10882650850945,-0.5813889961655635,0.6392492752867814,-1.4750230518376148,-1.7835823554498598,1.2688320161024451,1.7430482257370787,-0.5693539295026832,1.3434508269750631,-0.7309557787434545,1,0.99,2
